id	KSGS1	KSGS2	KSGS5	KSGS6	KSGS1_GB	KSGS2_GB	KSGS5_GB	KSGS6_GB	TR_young	TR_old	TR_young_log	TR_old_log
Aldh1l1	1	1	1	1	3768	17239	14939	11823	9.52063597848336E-005	7.47328301322771E-005	-4.0213340398	-4.1264885707
Osgin1	11	9	11	2	36143	23145	93549	21133	0.0003373364	0.0001133569	-3.4719368046	-3.9455519059
Serpina3m	1	1	1	1	3523	11686	6133	6789	0.0001315011	0.0001547748	-3.8810706642	-3.810299741
RP23-456L15.4	6	7	4	2	21413	14116	15955	21899	0.0003658983	0.0001585037	-3.4366396317	-3.7999605274
Atp11c	1	2	2	1	9541	12131	11263	7456	0.0001384275	0.000160265	-3.8587777373	-3.7951613896
Ubr4	1	1	1	1	4341	4574	5834	3685	0.000224341	0.0002101061	-3.6490913518	-3.6775613312
Cntnap2	5	7	3	3	15691	11631	11966	15625	0.0004392065	0.0002174622	-3.357331241	-3.6626161908
Cyp2c29	1	1	1	1	6899	5346	6171	2941	0.000163332	0.0002194908	-3.7869287938	-3.6585837154
Lrp1b	4	2	1	5	14152	9929	11389	14516	0.0002491591	0.0002316155	-3.6035232673	-3.6352323462
Selenop	5	1	7	4	23284	31283	27439	15313	0.0001099566	0.0002572979	-3.9587788273	-3.5895637513
Msra	4	6	2	1	6165	7518	5759	5642	0.0007308339	0.0002631348	-3.136181327	-3.579821691
Ptprd	7	9	2	9	23988	22914	16935	21921	0.0003411368	0.0002830966	-3.4670713797	-3.5480654053
Dmd	1	2	2	3	9714	7352	7915	8686	0.0001757881	0.0003011867	-3.7550104866	-3.5211642452
Fam117b	2	2	1	2	6133	5811	5571	4211	0.0003348962	0.0003066857	-3.4750898034	-3.5133064038
Lrrc4c	2	3	1	5	9221	6612	7262	9318	0.0003157961	0.0003618818	-3.5005932074	-3.4414332758
RP24-325F22.1	1	1	1	1	2875	2192	2217	3179	0.0003947109	0.0003706449	-3.4037209086	-3.4310419453
Alas1	7	9	7	14	19257	46429	21232	32316	0.0002435831	0.0003921715	-3.6133528333	-3.40652396
Samd4b	1	1	1	1	2531	2573	2529	2541	0.0003918495	0.0003944773	-3.40688067	-3.4039779637
Ttc39c	8	2	5	5	17116	52238	16184	8786	0.0001441878	0.0004004806	-3.8410715141	-3.3974185424
Celf2	2	4	1	6	8562	6423	7671	9214	0.0004004004	0.0004145691	-3.3975054969	-3.382403025
Spata16	11	2	1	1	2524	1679	1938	2674	0.0030930288	0.0004336513	-2.5096160377	-3.362859303
Rbm47	21	11	2	7	11421	15345	12239	8377	0.0011955466	0.0004365541	-2.9224334953	-3.3599618961
D431141D15Rik	4	6	1	1	2375	1761	2142	2389	0.002417795	0.0004414037	-2.6165805301	-3.3551640665
Dnah8	1	1	1	1	2228	1777	1942	2417	0.0004993758	0.0004588208	-3.3015725248	-3.3383568734
Gm26694	14	16	2	4	5781	8298	8325	4517	0.0021308332	0.0004672169	-2.6714505542	-3.3304814152
Hdac9	6	5	1	5	6855	4927	5479	7219	0.0009336276	0.0004725154	-3.0298263332	-3.3255840724
Pde4d	14	8	3	9	13633	11193	11944	13137	0.0008861677	0.0004784498	-3.0524840702	-3.3201636021
Lama2	17	5	1	3	4499	3196	3414	4861	0.0028589994	0.0004833837	-2.5437859433	-3.3157080111
Palld	8	2	5	2	6783	5819	8257	5823	0.0007935248	0.0004971591	-3.1004394753	-3.3035046148
Rapgef4	13	7	6	7	18875	34788	11271	14759	0.0003726963	0.0004994237	-3.4286449523	-3.3015308158
Il1rapl1	4	2	3	1	4468	3135	3311	4686	0.0007891622	0.0005001876	-3.1028337401	-3.3008671047
Rbbp6	5	2	1	1	2313	2775	2188	1782	0.0013757862	0.0005037783	-2.8614490626	-3.2977605111
Sema3a	4	5	2	1	3613	2332	2547	3392	0.0015138772	0.0005051355	-2.8199093495	-3.2965920706
Dab1	4	6	5	4	9934	7221	7519	9987	0.0005829204	0.0005141094	-3.2343907224	-3.2889444147
Pou6f2	6	5	1	1	2194	1494	1628	2234	0.0029826464	0.0005178664	-2.5253982272	-3.2857822738
Ctnna2	2	6	4	4	8618	6182	6515	8814	0.0005405405	0.0005218866	-3.2671717284	-3.2824238372
Asic2	5	7	5	5	9815	7583	7823	11231	0.0006897345	0.0005248242	-3.1613180805	-3.2799861609
Scp2	5	3	2	6	3716	6314	9158	5952	0.0007976072	0.0005294507	-3.098210946	-3.2761744773
Frmpd4	2	2	2	2	4212	2914	3211	4314	0.0005613247	0.0005315615	-3.2507858267	-3.2744465129
Pappa2	1	1	1	1	2119	1513	1552	2145	0.0005506608	0.0005409792	-3.2591158442	-3.2668194549
Gm26561	3	11	4	4	7194	11628	7948	6716	0.0007438104	0.0005455537	-3.1285377334	-3.263162465
Asb3	1	1	1	2	3136	3345	2883	2591	0.0003085944	0.0005480453	-3.5106120258	-3.2611835384
Senp7	1	1	1	1	1939	1984	1892	1733	0.0005098139	0.0005517241	-3.2925883125	-3.2582780152
Grid2	2	3	3	8	11312	7168	8141	11794	0.0002705628	0.0005517933	-3.5677319625	-3.2582235548
Ctnnd2	8	8	3	4	6818	4891	5155	7111	0.0013664702	0.0005706832	-2.8643998233	-3.2436049203
Trpm3	2	4	1	6	6675	4873	5232	6949	0.0005195705	0.0005746655	-3.2843555248	-3.2405849032
Gm21696	2	4	1	1	2139	1873	1933	1532	0.0014955135	0.0005772006	-2.825209674	-3.2386732433
Phf21a	6	1	4	2	4686	4911	5471	4549	0.0007293946	0.0005988024	-3.1370374548	-3.2227164711
Ccdc7a	1	1	1	1	1816	1353	1531	1796	0.0006311139	0.0006011422	-3.1998922435	-3.2210228052
4933436I21Rik	3	1	1	1	1845	1331	1475	1843	0.0012594458	0.0006027728	-2.8998205024	-3.219846386
Macf1	9	3	9	1	7837	8599	9247	7296	0.0007301046	0.0006044853	-3.1366148865	-3.2186142697
Pcdh15	6	7	9	3	11213	7888	8459	11277	0.0006805926	0.0006080259	-3.1671127523	-3.2160778904
Nrxn3	8	13	11	3	13216	9133	9718	13154	0.0009396394	0.0006121021	-3.0270388008	-3.2131761067
Serpina1b	8	7	2	9	18555	17362	12711	5221	0.0004176295	0.0006134285	-3.3792087956	-3.212236045
2111111I11Rik	7	2	5	4	6317	11471	7694	6861	0.0005059591	0.0006183442	-3.2958846113	-3.2087697003
A231114M16Rik	9	1	1	1	1757	1314	1341	1891	0.0032562683	0.0006188119	-2.4872798164	-3.2084413564
Bri3	9	6	7	2	8279	11432	8617	5611	0.0007609964	0.0006325555	-3.1186173989	-3.1989013471
Cntn5	15	5	7	3	8927	6243	6591	9171	0.0013183916	0.0006344373	-2.8799555851	-3.1976113232
A831118L16Rik	9	7	1	3	3626	2364	2617	3652	0.0026711185	0.0006380603	-2.5733068397	-3.1951382785
Mecp2	1	3	1	1	1422	1951	1816	1291	0.0011858879	0.0006437078	-2.9259563499	-3.1913112576
Opcml	12	2	4	7	9471	6512	7268	9725	0.0008759307	0.0006473254	-3.0575302638	-3.1888773723
Adgrl3	8	11	5	2	6152	3979	4511	6196	0.0018754318	0.0006537779	-2.7268987144	-3.1845697627
Gm28153	1	1	1	1	1248	1411	1895	1161	0.0007521625	0.0006544503	-3.1236883417	-3.1841233542
Gm26745	5	21	4	4	6595	12125	6217	5861	0.0013888889	0.0006623613	-2.8573324964	-3.1789050383
Sox6	18	4	6	4	8178	7516	7146	7716	0.0014018096	0.000672857	-2.8533109675	-3.172077257
Cask	5	1	2	1	2312	2142	2279	2147	0.0013471037	0.0006778129	-2.8705989623	-3.1688901549
Thtpa	1	1	1	1	1261	1486	1752	1171	0.000728067	0.0006842285	-3.1378286638	-3.1647988197
Frmd4a	7	8	3	6	6244	5488	6288	6854	0.0012785544	0.0006848273	-2.8932807953	-3.1644189534
Myo5b	7	7	1	6	5152	5192	5561	4617	0.0013534416	0.0006877579	-2.8685604762	-3.1625644065
Rbm25	2	1	2	1	2146	2767	2761	1584	0.0006106249	0.0006904488	-3.2142255094	-3.1608685261
Cntn4	7	8	6	3	7435	5156	5576	7455	0.0011913271	0.0006906607	-2.9239689649	-3.1607352353
Gm15218	1	1	2	1	2521	2155	1986	2342	0.000427716	0.0006931608	-3.3688445068	-3.1591659974
Spag16	11	1	5	3	6389	4518	4938	6531	0.0011002109	0.0006975325	-2.9585240671	-3.1564355657
Sgcz	6	1	4	5	7432	4771	5369	7255	0.0005736294	0.0007129278	-3.2413685713	-3.1469544764
Lsamp	11	12	9	12	16852	11543	12486	16839	0.0008100018	0.0007161125	-3.091514037	-3.1450187261
Fam155a	8	5	2	4	4649	3293	3611	4726	0.0016368673	0.0007196833	-2.7859865304	-3.1428585511
Agbl4	2	6	3	8	8447	6216	6521	8743	0.0005455909	0.0007206499	-3.2631328476	-3.1422756722
Malrd1	9	8	1	5	4788	3311	3591	4714	0.0020990246	0.0007224564	-2.6779824776	-3.1411883864
Nfib	7	1	6	6	9917	12549	9312	7282	0.0003560937	0.0007231529	-3.4484357676	-3.1407698397
Celf4	1	4	1	3	3112	2314	2559	2911	0.0009214891	0.0007312614	-3.0355097851	-3.135927335
Tenm1	1	6	1	3	3192	2156	2296	3151	0.0013089005	0.0007343492	-2.8830933586	-3.1340973839
Fam19a2	9	8	1	4	3746	2599	2911	3875	0.002679275	0.0007368111	-2.5719827051	-3.132643851
Cntn3	1	2	1	3	2993	2188	2261	3131	0.0005790388	0.0007418398	-3.2372923376	-3.1296898922
Gm21992	2	2	4	1	4193	5314	4226	2485	0.0004207426	0.0007450454	-3.3759835026	-3.1278172345
Nell1	3	3	8	1	6634	4745	5139	6892	0.0005272871	0.0007480675	-3.277952847	-3.1260592174
9631128H13Rik	3	1	2	1	2181	1786	1642	2353	0.0010083186	0.0007509387	-2.9964022091	-3.1243955289
Il11ra1	4	9	3	3	3617	4891	5223	2767	0.0015279737	0.0007509387	-2.8158841289	-3.1243955289
Mageb18	3	1	1	1	1482	1141	1156	1466	0.0015249714	0.0007627765	-2.8167382993	-3.1176026917
Col28a1	4	5	1	1	1317	983	1193	1424	0.0039130435	0.0007642339	-2.4074853266	-3.116773727
Rbms3	3	2	6	8	11117	7451	8324	9917	0.0002692805	0.0007675018	-3.5697951231	-3.1149206077
Aqr	1	1	1	1	1471	1396	1422	1182	0.0006975933	0.0007680492	-3.1563976973	-3.1146109842
Gabrb1	11	13	2	3	3613	2475	2758	3671	0.0039421813	0.0007777259	-2.4042634021	-3.1091734214
Cacna2d3	4	5	4	6	6978	5287	5393	7323	0.0007337954	0.0007864108	-3.1344250431	-3.1043505192
Rnf221	3	6	2	3	3161	3121	3415	2936	0.0014326648	0.0007872776	-2.8438554226	-3.1038721084
Tenm4	5	5	6	4	6548	4985	5524	7133	0.0008670771	0.0007900766	-3.061942292	-3.1023307801
Myt1l	3	3	2	3	3363	2532	2685	3642	0.0010178117	0.0007902639	-2.992332559	-3.1022278301
Ntrk3	2	6	5	2	4793	3513	3935	4881	0.0009631592	0.0007940109	-3.0163019398	-3.1001735415
Adam12	6	3	1	4	3261	2758	2938	3313	0.001495265	0.000799872	-2.8252818339	-3.0969794946
Nckap5	8	11	11	1	7331	5725	6845	8146	0.0014552696	0.0008004803	-2.8370565405	-3.0966493581
1611111M17Rik	2	3	4	6	6512	8435	7565	4871	0.0003345153	0.0008041171	-3.4755840302	-3.0946807134
Tmem131	13	2	3	3	3468	4932	4246	3214	0.0017857143	0.0008042895	-2.748188027	-3.0945875771
Pnpla8	4	11	4	1	3159	4239	3711	2483	0.002027575	0.0008072328	-2.6930230679	-3.0930011967
Dpp11	6	14	5	3	5443	3713	4116	5651	0.00218436	0.0008190847	-2.6606757883	-3.0866712007
Dcc	9	5	3	9	8522	5821	6134	8496	0.0009760859	0.0008202324	-3.0105119627	-3.0860630801
Pde11a	11	9	6	1	4461	3631	3881	4564	0.0024715769	0.0008288928	-2.6070258784	-3.0815016139
Ryr3	4	21	3	4	4591	3517	3581	4833	0.0030833744	0.0008319468	-2.5109737313	-3.0799044677
Ush2a	5	9	3	6	5713	4179	4571	6142	0.0014152851	0.0008401008	-2.849156072	-3.0756685955
Mecom	3	3	4	4	5251	3783	4358	5123	0.0006641576	0.0008437928	-3.1777288358	-3.0737641596
Zfp385b	2	5	5	4	5591	8443	4517	6141	0.0004987887	0.0008444361	-3.3020834322	-3.0734332065
Nrg1	6	6	8	7	8254	5791	8746	8941	0.0008543966	0.0008480805	-3.0683404975	-3.0715629168
Olfr56	1	1	1	1	941	811	875	1483	0.0011415525	0.0008481764	-2.9425041062	-3.0715138051
Dpp6	9	2	1	11	7787	5636	5968	8121	0.0008194889	0.0008517283	-3.086456905	-3.0696989231
Ptprt	7	14	2	12	9168	6521	6983	9438	0.0013385174	0.0008525668	-2.8733759683	-3.0692715654
Pcdh9	3	8	7	2	6165	4194	4259	6151	0.0010618786	0.0008645533	-2.9739251479	-3.0632082201
Csmd1	7	6	7	13	12778	8767	9819	13296	0.0006033883	0.000865239	-3.2194031461	-3.0628639021
Plxna2	11	1	4	5	4413	4551	5863	4472	0.0013386881	0.0008708273	-2.8733206018	-3.0600679715
Tln2	13	3	2	4	3355	2768	3184	3665	0.0026130982	0.0008760403	-2.5828442768	-3.0574759158
Rnase4	1	1	1	1	1916	3149	689	1591	0.0003948667	0.000877193	-3.403549454	-3.0569048513
Ehbp1	4	7	6	3	4719	4559	5921	4332	0.0011856003	0.0008777919	-2.926061683	-3.0566084479
Il1rapl2	6	1	6	1	4533	2981	3436	4495	0.0009315944	0.0008826125	-3.0307731507	-3.0542299099
Hs3st5	6	1	3	1	2374	1622	1897	2571	0.0017517518	0.0008952551	-2.7565274395	-3.0480531731
Gm6612	8	11	1	1	1345	852	956	1277	0.0086481566	0.0008956561	-2.063076456	-3.0478587274
4931412H24Rik	11	7	4	3	3113	3213	5192	2594	0.0028453999	0.0008990496	-2.5458566825	-3.0462163594
Xpnpep1	2	7	1	2	1692	1622	1787	1538	0.0027157514	0.0009022556	-2.5661099946	-3.0446703949
Gck	13	5	7	11	1488	4447	15197	4631	0.0030328559	0.0009078071	-2.5181482182	-3.0420064051
Etl4	13	4	5	8	7838	6211	6664	7631	0.0012100505	0.0009094089	-2.9171964911	-3.0412408074
Cacna1e	3	12	3	4	4267	3117	3451	4224	0.0020314193	0.0009120521	-2.692200429	-3.0399803441
2611317P16Rik	9	9	5	1	3818	2813	2819	3748	0.0027145227	0.0009136592	-2.5663065228	-3.0392157659
Ebf2	12	9	2	1	1737	1341	1455	1823	0.0068226121	0.0009151922	-2.1660493208	-3.0384876945
Nav2	4	8	11	12	9871	9165	13557	11462	0.0006303845	0.0009193013	-3.2003944501	-3.0365421111
Gabrg3	8	8	2	6	4844	3316	3816	4828	0.0019607843	0.0009254975	-2.7075701761	-3.0336247712
Hdac4	2	6	6	4	5131	5737	6119	4681	0.000736106	0.0009259259	-3.1330596428	-3.0334237555
Kcnq1	8	5	3	6	4415	4364	4834	4631	0.0014808065	0.0009508716	-2.8295016967	-3.0218781089
Tenm2	4	2	8	11	11123	7291	8159	11721	0.000325839	0.0009557344	-3.4869968884	-3.0196627791
Gm28836	7	11	7	8	11891	17611	7951	7722	0.0006101281	0.0009570599	-3.2145789536	-3.0190608745
Kdm4c	11	1	2	3	2819	2866	2856	2351	0.0021108179	0.0009602458	-2.675549223	-3.0176175733
Anks1b	11	11	11	3	8121	6113	6296	8281	0.0015455951	0.0009604171	-2.8109042807	-3.0175401181
Sorbs2	12	1	8	8	6919	8241	9854	6739	0.0008575198	0.000964262	-3.066755849	-3.0158049305
Dlgap2	11	8	6	6	6856	4747	5427	6943	0.0016375075	0.0009700889	-2.7858166913	-3.0131884536
Cntnap5c	5	2	4	4	4527	3184	3491	4747	0.0009077941	0.0009711095	-3.0420126631	-3.0127318006
Rnf128	1	1	1	1	1216	1247	1171	888	0.0008120179	0.0009713453	-3.0904344162	-3.012626351
Stard11	19	3	4	13	7715	12381	11738	5635	0.0010947452	0.0009785299	-2.9606869412	-3.0094258983
Syne1	6	4	5	5	5197	4315	5288	4885	0.0010513036	0.0009829942	-2.9782718416	-3.0074490445
Rbfox3	16	6	2	7	4619	3913	4214	4933	0.0025785279	0.0009839292	-2.588628166	-3.0070361696
Sorcs3	4	11	4	5	4969	3558	3975	5151	0.0017591181	0.0009861933	-2.7547050039	-3.006037955
Pak3	1	2	1	1	1114	819	826	1191	0.0015519917	0.0009915716	-2.8091105993	-3.0036759025
Hs3st4	6	2	2	3	2675	1934	2179	2835	0.0017357344	0.0009972078	-2.7605167211	-3.0012143253
Iffo2	4	3	1	6	3913	3853	4141	2841	0.0009013649	0.0010025781	-3.0450993462	-2.9988818045
Zfhx3	13	18	5	8	6228	6551	7227	5576	0.0024258549	0.001015387	-2.6151351763	-2.9933683932
Ralyl	4	3	8	1	4999	3265	3653	5172	0.0008470474	0.00101983	-3.0720922685	-2.9914722046
Cyyr1	1	1	2	1	1483	1266	1523	1415	0.0007275373	0.0010211028	-3.1381447442	-2.9909305367
Tex14	8	7	7	15	15781	16363	13653	7777	0.0004666501	0.0010265982	-3.3310086603	-2.9885994902
Nrg3	5	4	9	6	8211	5688	6191	8263	0.0006475286	0.001037775	-3.1887410455	-2.9838967913
Dach2	9	3	2	1	1632	1197	1244	1636	0.0042417815	0.0010416667	-2.3724517014	-2.982271233
Ccbe1	7	2	2	3	2626	2161	2162	2577	0.0018800919	0.0010550749	-2.725820918	-2.9767167044
Dnah5	7	5	2	2	2119	1474	1617	2166	0.0033398274	0.0010573619	-2.4762759712	-2.97577635
St18	6	6	4	1	2542	1826	1961	2685	0.0027472527	0.0010761946	-2.5611013836	-2.9681092011
Sgcd	3	16	4	12	8266	5531	6233	8628	0.001377111	0.0010766436	-2.8610310633	-2.9679280515
Grip1	11	3	4	7	5572	4212	4379	5786	0.0014309076	0.0010821446	-2.8443884083	-2.9657146978
Dscam	3	2	3	7	5114	3617	3883	5283	0.0005726721	0.0010909884	-3.2420939839	-2.9621798529
Tmem132d	11	2	1	11	5625	4294	4775	6171	0.001310616	0.0010962909	-2.882524538	-2.9600741978
Rnf11	6	3	2	1	1862	1765	1619	1117	0.0024813896	0.0010964912	-2.6053050461	-2.9599948383
Gm12648	3	4	2	3	2617	1835	1936	2612	0.001572327	0.0010993843	-2.8034571156	-2.9588504517
Por	13	2	9	11	7976	23417	6645	11452	0.0004778135	0.0011051556	-3.320741561	-2.9565765907
Gm26914	14	12	21	15	16179	26717	19169	13315	0.0006061171	0.0011082379	-3.2174434487	-2.9553670011
Snd1	6	4	12	8	7166	7183	8689	9153	0.0006969127	0.0011209506	-3.1568216356	-2.9504135394
Mug-ps1	1	1	1	1	1412	1172	1112	666	0.0007739938	0.0011248594	-3.1112625137	-2.948901761
Pid1	5	6	8	13	5738	8173	11465	7175	0.0007907411	0.0011266094	-3.1019656655	-2.9482266133
Nfyc	8	1	4	2	2661	4157	3116	2195	0.0013200352	0.0011297307	-2.8794144875	-2.947025051
Dusp11	1	1	2	3	2138	1852	2877	1499	0.0005012531	0.001142596	-3.2999429	-2.942107309
RP23-243D11.3	1	1	1	1	982	865	925	817	0.001082837	0.0011481056	-2.9654368998	-2.940018155
Dnah12	4	11	2	1	1377	922	1146	1461	0.0065245759	0.001150748	-2.1854477122	-2.9390197764
Usp7	4	2	2	3	2193	2413	2428	1915	0.0013026487	0.0011512779	-2.8851726832	-2.938819825
Rgs6	8	16	7	4	4943	3671	4163	5231	0.0027861621	0.0011709602	-2.5549936257	-2.9314578707
Cntnap5b	4	2	6	5	5252	3571	3992	5391	0.0006800408	0.0011723329	-3.1674650288	-2.9309490312
Foxn3	7	9	9	6	6635	8157	7164	5615	0.0010816658	0.0011738008	-2.9659069155	-2.9304056111
Gm28376	4	3	2	1	1313	921	1152	1392	0.003133393	0.0011792453	-2.5039851288	-2.9283958523
Nrxn1	18	22	11	7	8351	6175	6774	8476	0.0027536831	0.0011803279	-2.5600860485	-2.9279973386
Fam19a1	3	4	2	7	4316	2824	3288	4277	0.0009803922	0.0011896894	-3.0086001718	-2.9245664229
Fgf14	5	5	3	7	4551	3147	3557	4841	0.0012990387	0.0011907597	-2.8863779068	-2.9241758703
Ctnnb1	8	7	2	4	2399	3121	3115	1913	0.0027173913	0.0011933174	-2.5658478187	-2.9232440186
1711123O12Rik	5	6	3	2	2256	1547	1754	2435	0.0028924533	0.0011936023	-2.5387336403	-2.923140356
Patl2	15	11	3	7	3925	4361	4812	3471	0.0031378228	0.001207292	-2.503371581	-2.9181876614
Eif4g1	4	1	5	3	4424	4172	3933	2671	0.0005816659	0.001211387	-3.2353264025	-2.9167170776
Atp2b2	6	5	3	7	3454	2675	4685	3563	0.0017947463	0.0012124151	-2.7459969362	-2.9163486523
4933432K13Rik	6	7	1	2	1219	885	1158	1316	0.0061787072	0.0012126112	-2.2091023832	-2.9162784406
Ptprn2	4	2	3	12	6511	4793	5233	7114	0.0005307856	0.00121487	-3.2750808985	-2.9154701891
D131155H17Rik	2	4	5	1	2534	4215	2944	1989	0.0008890206	0.0012162984	-3.0510881778	-2.9149598651
Nt5c2	15	3	5	2	2167	2997	3561	2188	0.00348567	0.0012176031	-2.4577137285	-2.9144942686
Lipc	4	3	7	3	2169	2111	5873	2318	0.001635514	0.0012208522	-2.786345729	-2.9133369259
B231118H17Rik	1	1	1	1	791	738	736	893	0.0013080445	0.0012277471	-2.8833774897	-2.9108910886
Ifrd1	11	4	4	4	4178	4926	3936	2573	0.0016476274	0.0012290674	-2.78314099	-2.9104242845
Adgrb3	6	4	1	11	5514	3728	4125	5628	0.0010820169	0.0012303906	-2.9657659642	-2.9099569782
Mipol1	1	1	1	4	2257	1919	1834	2223	0.0004789272	0.0012324378	-3.3197304943	-2.9092350034
Mug2	1	1	1	1	532	633	1185	429	0.0017167382	0.0012391574	-2.7652959297	-2.9068735347
Fam189a1	2	2	2	7	3955	3256	3366	3895	0.0005547081	0.0012394987	-3.2559355042	-2.9067539273
Tnni3k	4	5	2	3	2138	1588	1717	2316	0.0024154589	0.0012397719	-2.6170003411	-2.9066582177
Lingo2	11	12	8	11	9144	6125	6525	8718	0.00150632	0.0012464738	-2.8220827591	-2.9043168487
Grid1	8	15	4	11	6271	4744	5156	6861	0.0020880617	0.0012482317	-2.6802566655	-2.9037048021
Ccser1	3	7	8	11	8618	5776	6448	8766	0.0006947339	0.0012488497	-3.1581814984	-2.903489811
Gm45158	1	6	4	4	3458	2583	2712	3691	0.0011587486	0.0012494143	-2.9360107957	-2.9032935148
Sla	4	2	1	1	611	551	635	958	0.0051635112	0.0012554928	-2.2870548777	-2.9011857801
Npas3	8	3	5	11	6881	4841	5515	7176	0.0009384064	0.001260736	-3.0276090319	-2.8993758615
Utrn	6	8	4	8	4891	4511	4189	5318	0.0014890449	0.0012622278	-2.8270922112	-2.8988622479
Kcnma1	11	2	4	11	6263	4616	4949	6889	0.0011949628	0.0012671059	-2.9226456244	-2.8971870766
Gm12514	1	4	2	1	1244	891	1112	1241	0.0023419204	0.0012749681	-2.630427875	-2.8945006725
Gm11711	5	12	1	1	751	578	818	747	0.0127915726	0.0012779553	-1.8930760596	-2.8934843462
Myo16	5	7	6	4	4451	2985	3413	4368	0.0016137708	0.0012851819	-2.7921581351	-2.8910354153
Csmd3	9	8	4	15	8685	5658	6215	8496	0.0011852472	0.0012915505	-2.926191077	-2.8888885945
Raet1e	1	1	1	1	741	533	616	925	0.0015698587	0.0012978585	-2.8041394323	-2.8867726431
Phactr1	11	1	3	7	4141	3189	3469	4223	0.0016371078	0.001300052	-2.7859227286	-2.8860392756
Tmem56	7	4	8	2	3611	5255	5318	2328	0.0012406948	0.0013078734	-2.9063350418	-2.8834342937
Fstl5	2	3	8	2	4365	2867	3218	4426	0.0006913717	0.0013082156	-3.1602884131	-2.8833206784
Fchsd2	4	19	9	3	4271	7115	5184	3954	0.0020200246	0.0013131976	-2.6946433435	-2.8816699077
Cntnap5a	4	4	7	9	6914	4699	5116	6921	0.0006888831	0.0013292349	-3.161854439	-2.8763982779
Edil3	5	2	1	7	3362	2392	2566	3431	0.001216545	0.0013340003	-2.9148718175	-2.8748440618
Zfp617	1	1	1	1	891	993	858	621	0.0010615711	0.001352265	-2.9740509028	-2.8689381783
Ccdc73	6	3	1	3	1659	1539	1541	1414	0.0028142589	0.0013536379	-2.55063595	-2.8684974939
RP23-249B22.2	9	2	2	1	1318	924	949	1265	0.0049063336	0.0013550136	-2.3092429231	-2.8680563618
Mtm1	6	5	2	1	1182	1171	1278	932	0.0046748831	0.0013574661	-2.330229242	-2.867271019
Kcnd2	9	2	1	8	3731	2777	2775	3794	0.0016902274	0.0013700715	-2.7720548591	-2.8632567524
Erbb4	11	11	3	14	7225	4985	5193	7214	0.0018018018	0.0013701942	-2.7442929831	-2.8632178608
Luzp2	9	6	5	2	2871	1995	2115	2982	0.0030826141	0.0013733569	-2.5110808455	-2.8622165936
Kirrel3	14	5	8	6	5331	4111	4551	5627	0.0020122855	0.0013755158	-2.6963103951	-2.8615344109
Gm21847	1	1	1	2	1161	832	931	1246	0.0010035123	0.0013780432	-2.998477303	-2.8607371743
Ntng1	6	8	5	2	2899	1997	2171	2876	0.0028594771	0.0013869626	-2.5437133735	-2.8579352647
Cdh13	8	14	15	11	9844	7118	7522	11126	0.0012970169	0.0013942514	-2.8870543781	-2.8556589125
Gm45193	5	2	1	3	1571	2351	1142	1721	0.0017848037	0.0013971359	-2.7484095493	-2.8547613567
Gm12132	5	3	1	5	2339	1611	1811	2447	0.0020253165	0.0014091123	-2.6935071086	-2.8510544067
Fancc	9	9	1	6	2684	3345	2454	2493	0.0029855697	0.001414999	-2.5249727788	-2.8492438703
03/01/18	5	4	11	6	6225	4444	5238	6714	0.0008435655	0.0014223561	-3.0738812057	-2.8469916631
Gm44662	11	1	4	7	438	4123	3377	4296	0.002631002	0.0014335983	-2.5798788262	-2.843572513
Nkain3	11	4	6	6	4817	3191	3615	4737	0.0018731269	0.0014367816	-2.7274328054	-2.8426092396
Popdc3	2	1	2	1	1181	868	932	1152	0.0014641288	0.0014395393	-2.8344207037	-2.8417764599
Enox1	8	2	7	6	4953	3427	3914	5114	0.0011933174	0.0014399646	-2.9232440186	-2.8416481981
Erdr1	1	1	1	1	1144	1481	748	639	0.0007619048	0.0014419611	-3.1180993121	-2.8410464654
Thoc2	2	2	2	2	1355	1577	1561	1213	0.0013642565	0.0014419611	-2.8651039746	-2.8410464654
Gm16559	11	3	13	8	8427	11444	8971	5575	0.0007045443	0.0014436959	-3.1520916877	-2.8405242885
Agbl1	11	6	9	8	6597	4677	5131	6629	0.0015078943	0.0014455782	-2.8216291091	-2.8399584004
Ctnna3	8	17	15	16	11883	8293	9176	12178	0.001239096	0.0014517186	-2.9068950606	-2.8381175446
Fam81b	5	3	1	1	728	558	555	821	0.0062208398	0.0014534884	-2.2061509816	-2.8375884382
Grik1	9	13	6	2	3117	2213	2364	3124	0.0041275797	0.0014577259	-2.3843045282	-2.8363241157
Ntng2	1	1	1	1	716	528	711	651	0.001607717	0.0014684288	-2.7937903847	-2.8331471119
Brinp3	6	3	3	4	2738	1731	2114	2645	0.0020138733	0.0014708972	-2.6959678452	-2.8324176648
Grm1	11	5	2	6	3116	2211	2212	3221	0.0030035667	0.001472483	-2.5223627141	-2.831949718
Tcf4	3	5	11	6	5533	5516	6214	5325	0.0007240474	0.0014732646	-3.1402329866	-2.831719252
Trdn	11	8	1	6	2719	1834	2119	2629	0.0041730727	0.001474305	-2.3795440494	-2.8314126703
AI481877	4	4	1	1	831	558	613	741	0.0057595392	0.0014771049	-2.2396122587	-2.8305886687
Gpc5	11	11	22	6	11194	7129	7541	11343	0.0012006767	0.0014827367	-2.9205739008	-2.8289359604
Ptch1	6	6	2	9	4356	5621	4263	3151	0.0012027664	0.0014836795	-2.9198187262	-2.8286598965
