id	KSGS1	KSGS2	KSGS5	KSGS6	KSGS1_GB	KSGS2_GB	KSGS5_GB	KSGS6_GB	TR_young	TR_old	TR_young_log	TR_old_log
Rgs21	6	8	4	5	314	241	239	321	0.0252252252	0.0160714286	-1.5981649474	-1.7939455176
Acsbg2	4	2	6	4	288	226	253	369	0.0116731518	0.0160771704	-1.9328118686	-1.7937903847
Gpr149	12	1	2	13	489	375	411	522	0.0150462963	0.0160771704	-1.8225703902	-1.7937903847
Tmem233	4	2	3	9	382	237	313	433	0.0096930533	0.0160857909	-2.0135393986	-1.7935575814
4921518K17Rik	2	5	4	2	162	153	159	214	0.0222222222	0.0160857909	-1.6532125138	-1.7935575814
Plppr5	15	12	11	15	919	654	695	921	0.0171646535	0.0160891089	-1.7653649585	-1.7934680085
Wnt3a	13	4	11	3	417	321	386	484	0.0230352304	0.016091954	-1.6376074404	-1.7933912169
Golga2	2	6	13	18	833	1168	1215	711	0.003998001	0.0160955348	-2.3981571016	-1.793294589
Lipi	7	7	4	5	271	211	233	326	0.0290456432	0.0161001789	-1.5369190026	-1.7931692984
Wif1	6	11	9	11	818	673	558	684	0.0114017438	0.0161030596	-1.9430287221	-1.7930916002
Kl	7	3	5	6	341	289	284	399	0.0158730159	0.0161054173	-1.7993405495	-1.7930280185
Kdm2b	27	51	51	21	1758	2137	2831	1639	0.0200256739	0.0161073826	-1.6984128593	-1.7929750267
Pfdn4	3	4	3	11	458	515	458	411	0.0071942446	0.0161104718	-2.1430148003	-1.7928917408
Cmc4	1	1	1	1	65	78	63	61	0.013986014	0.0161290323	-1.8543060418	-1.7923916895
Cldn18	9	1	5	4	254	176	243	315	0.023255814	0.0161290323	-1.6334684556	-1.7923916895
RP24-345M16.2	3	1	1	1	66	56	63	61	0.0327868852	0.0161290323	-1.4842998393	-1.7923916895
B121111L13Rik	6	1	2	1	99	75	91	95	0.0402298851	0.0161290323	-1.3954512083	-1.7923916895
Naip1	3	1	6	6	369	294	332	411	0.0060331825	0.0161507402	-2.2194535371	-1.7918075677
Col8a2	5	3	5	4	262	283	265	292	0.0146788991	0.0161579892	-1.8333065153	-1.7916126857
Gm619	6	5	7	6	443	377	361	443	0.0134146341	0.0161691542	-1.8724211672	-1.7913126964
Gm15857	5	4	2	4	147	142	159	212	0.0311418685	0.0161725067	-1.5066553333	-1.7912226592
Asz1	6	4	7	3	411	251	259	359	0.0151057402	0.0161812298	-1.8208579894	-1.7909884751
